title,description,schedule,status
Introduction to Computer Science,Fundamental concepts of programming and computer systems,Mo 09:00 AM - 11:00 AM,UNPUBLISHED
Data Structures and Algorithms,Advanced programming concepts and algorithm analysis,Tu 02:00 PM - 04:00 PM,UNPUBLISHED
Database Management Systems,Principles of database design and SQL,We 01:30 PM - 04:30 PM,UNPUBLISHED
Web Development,HTML, CSS, and JavaScript fundamentals,Th 10:00 AM - 01:00 PM,UNPUBLISHED
Operating Systems,Computer system organization and operating system concepts,Fr 02:30 PM - 05:30 PM,UNPUBLISHED
Software Engineering,Software development lifecycle and project management,Mo 02:00 PM - 05:00 PM,UNPUBLISHED
Artificial Intelligence,Machine learning and AI algorithms,Sa 09:00 AM - 12:00 PM,UNPUBLISHED
Network Security,Network protocols and security principles,Su 01:00 PM - 04:00 PM,UNPUBLISHED
Mobile App Development,iOS and Android application development,Tu 09:30 AM - 12:30 PM,UNPUBLISHED
Cloud Computing,Cloud services and distributed systems,We 03:00 PM - 06:00 PM,UNPUBLISHED
